seed,run_date,invariant,change_log_entry,terminal_cash_mean_with_the_defect,what_the_fix_is_worth_at_the_mean
20260916,2026-09-16,correct model,-,-7278633.155541,0.000000
20260916,2026-09-16,every acquisition can be billed,4.2 and 5.1,-9420053.287187,2141420.131646
20260916,2026-09-16,school inference stays inside the inference line,5.2,-7278633.155541,0.000000
20260916,2026-09-16,content heads stay inside the people line,4.8,-7278633.155541,0.000000
20260916,2026-09-16,every acquisition can be billed,"6.1, the summer lapse",-7640702.855239,362069.699698
20260916,2026-09-16,every acquisition can be billed,"6.1, the progression",-7442482.211426,163849.055885
20260916,2026-09-16,every acquisition can be billed,"6.1, both exits together",-7803429.577995,524796.422454
20260916,2026-09-16,the saturation numerator never falls,2.4,-656919.039349,-6621714.116192
20260916,2026-09-16,a cohort is one cohort's worth of households,6.2,-7212431.466170,-66201.689371
20260916,2026-09-16,TRIPWIRE: the budget cap's assumed life,4.3 and 5.4,-7527279.575572,248646.420031
