seed,run_date,driver,distribution,low,mode,high,normal_mean,normal_sd,what_anchors_the_range
20260916,2026-09-16,anchor_u,u,0.000000,,1.000000,,,uniform used to draw the price-anchor regime; see P_TUTORING_ANCHOR
20260916,2026-09-16,price_uk_tut_gbp,tri,14.000000,22.000000,42.000000,,,gross monthly GBP if parents anchor on tutoring; docs/07 substitution table against verified 25-45 GBP/hr
20260916,2026-09-16,price_uk_sw_gbp,tri,3.500000,7.000000,13.000000,,,"gross monthly GBP if parents anchor on software; prior, no anchor in the vault"
20260916,2026-09-16,price_rel_us,u,0.850000,,1.450000,,,"US price relative to UK, prior"
20260916,2026-09-16,price_rel_in,u,0.100000,,0.320000,,,"India price relative to UK, prior"
20260916,2026-09-16,price_rel_row,u,0.550000,,1.050000,,,"rest-of-English-speaking price relative to UK, prior"
20260916,2026-09-16,price_drift_yr,n,,,,0.015000,0.030000,"annual real price drift, prior"
20260916,2026-09-16,overage_price_frac,u,0.550000,,1.450000,,,"overage price per session as a fraction of (plan price / allowance), prior"
20260916,2026-09-16,sessions_per_hh_month,u,3.500000,,18.000000,,,"mean sessions per active household per month. docs/03's own arithmetic, three sessions a week for a Year 11 revising one strand, is about 13 a month; the top of this range is above that and the bottom well below it, because nothing measures this before M5"
20260916,2026-09-16,sessions_cv,u,0.550000,,1.600000,,,"coefficient of variation of sessions across households, prior"
20260916,2026-09-16,usage_season_amp,u,0.100000,,0.550000,,,"seasonal swing in sessions per household, prior"
20260916,2026-09-16,churn_base,u,0.030000,,0.180000,,,"voluntary monthly churn in season, prior"
20260916,2026-09-16,churn_m1_extra,u,0.040000,,0.320000,,,"additional churn in the first month, prior"
20260916,2026-09-16,summer_lapse_pre,u,0.200000,,0.850000,,,"probability a pre-examination-year household lapses across July and August; this is OA-21, the assumption the Year 10 doubling rests on"
20260916,2026-09-16,progress_continue,u,0.650000,,0.980000,,,"of pre-examination households that survive the summer, the share that continue into their examination year, prior"
20260916,2026-09-16,alevel_continue,u,0.020000,,0.220000,,,"share of GCSE examination-year households continuing to A-level, prior"
20260916,2026-09-16,alevel_exit_rate,u,0.350000,,0.720000,,,"share of A-level stock exiting at each A-level sitting, prior"
20260916,2026-09-16,exam_carryover,u,0.000000,,0.100000,,,"share of examination-year households that do not leave at the sitting, prior"
20260916,2026-09-16,turns_per_session,u,8.000000,,30.000000,,,"turns per session, prior; docs/06 bounds context per turn but not turn count"
20260916,2026-09-16,tok_in_per_turn,u,2500.000000,,9000.000000,,,"bounded input tokens per turn under D30, prior"
20260916,2026-09-16,tok_out_per_turn,u,250.000000,,900.000000,,,"output tokens per turn, prior"
20260916,2026-09-16,price_in_mtok_usd,lu,0.150000,,3.000000,,,"USD per million input tokens, prior; docs/06 deliberately declines to write vendor prices from memory"
20260916,2026-09-16,price_out_mtok_usd,lu,0.600000,,15.000000,,,"USD per million output tokens, prior"
20260916,2026-09-16,verify_overhead,u,0.120000,,0.850000,,,"verifier cost as a multiple of generation, prior"
20260916,2026-09-16,gate_fire_rate,u,0.020000,,0.280000,,,"share of generations discarded by the gate, prior; docs/06 instruments this at M2"
20260916,2026-09-16,infer_decline_yr,u,0.080000,,0.550000,,,"annual decline in unit inference price, prior"
20260916,2026-09-16,support_min_hh_month,u,0.400000,,6.000000,,,"human support minutes per active household per month, prior"
20260916,2026-09-16,support_usd_hr,u,3.000000,,9.500000,,,"loaded Bengaluru support cost per hour, INR-quoted, stated as its USD equivalent at the fixed rate, prior"
20260916,2026-09-16,pay_pct,u,0.019000,,0.037000,,,"payment processing percentage, prior"
20260916,2026-09-16,pay_fixed_usd,u,0.180000,,0.450000,,,"payment processing fixed fee per charge, prior"
20260916,2026-09-16,hosting_hh_usd,u,0.040000,,0.600000,,,"retrieval, storage and telemetry per active household per month, prior"
20260916,2026-09-16,verif_cost_usd,lu,0.120000,,7.000000,,,"age assurance per verified adult; open item OI-5 and condition C2, deliberately spanning two orders of magnitude because nothing anchors it"
20260916,2026-09-16,minutes_per_item,u,4.000000,,30.000000,,,examiner validation minutes per item; docs/03 names the 5-fold spread explicitly as unknown
20260916,2026-09-16,examiner_rate_gbp_hr,u,22.000000,,78.000000,,,"examiner contract rate per hour, GBP, prior"
20260916,2026-09-16,writer_gbp_item,u,5.000000,,36.000000,,,"authoring cost per item, GBP, prior"
20260916,2026-09-16,items_per_unit,u,1800.000000,,6000.000000,,,"items per subject x level x board; docs/03's 600 is one strand of one subject, so this is an extrapolation"
20260916,2026-09-16,board_reuse,u,0.500000,,0.920000,,,share of items reused when the same subject and level is taken to a second UK board; if this were near 1 the expansion case would be getting for free the thing it is asking to buy
20260916,2026-09-16,market_reuse,u,0.100000,,0.600000,,,"share of items reused when a subject crosses to a foreign curriculum, prior"
20260916,2026-09-16,reval_frac_yr,u,0.040000,,0.280000,,,"share of the live bank revalidated each year, prior"
20260916,2026-09-16,eng_usd_yr,u,14000.000000,,45000.000000,,,"Bengaluru engineer base, INR-quoted, stated as its USD equivalent at the fixed rate, prior"
20260916,2026-09-16,uk_gbp_yr,u,45000.000000,,98000.000000,,,"UK-based role base (safeguarding, sales, DPO) in GBP, prior"
20260916,2026-09-16,overhead_mult,u,1.120000,,1.480000,,,"employer cost multiplier over base, prior"
20260916,2026-09-16,units_per_content_head,u,0.500000,,2.600000,,,"content units one content head can build and maintain per year, prior"
20260916,2026-09-16,eng_ramp_mult,u,0.700000,,1.600000,,,"multiplier on the engineering headcount ramp, prior"
20260916,2026-09-16,cac_anchor_usd,lu,8.000000,,130.000000,,,"UK cost per acquired household at low volume; this is an anchor, not an effective cost at scale"
20260916,2026-09-16,cac_rel_us,u,0.900000,,2.400000,,,"US CAC anchor relative to UK, prior"
20260916,2026-09-16,cac_rel_in,u,0.150000,,0.800000,,,"India CAC anchor relative to UK, prior"
